,explanation,absolute,normalisation,similarity_func,baseline_strategy,subset_size,iterations,faithfulness_score
347,FusionGrad,True,False,Spearman,Uniform,2,100,-0.0359873130170159
348,Saliency,True,False,Pearson,Uniform,112,50,-0.067254042424873
349,IntegratedGradients,True,False,Pearson,Uniform,112,50,-0.016239267947968
350,FusionGrad,True,False,Pearson,Uniform,112,50,-0.0422805909370814
351,Saliency,True,False,Spearman,Uniform,112,50,-0.0228228434230835
352,IntegratedGradients,True,False,Spearman,Uniform,112,50,-0.0643182987480706
353,FusionGrad,True,False,Spearman,Uniform,112,50,0.0201886468873263
354,Saliency,True,False,Pearson,Uniform,112,100,0.0563057359182993
355,IntegratedGradients,True,False,Pearson,Uniform,112,100,0.0361041041980523
356,FusionGrad,True,False,Pearson,Uniform,112,100,0.0419421327918464
357,Saliency,True,False,Spearman,Uniform,112,100,-0.0064197848356264
358,IntegratedGradients,True,False,Spearman,Uniform,112,100,0.0614109982426814
359,FusionGrad,True,False,Spearman,Uniform,112,100,-0.047039561098967
360,Saliency,True,False,Pearson,Uniform,224,50,-0.038333043495823
361,IntegratedGradients,True,False,Pearson,Uniform,224,50,-0.0090840085433382
362,FusionGrad,True,False,Pearson,Uniform,224,50,-0.0024543406403871
363,Saliency,True,False,Spearman,Uniform,224,50,0.0798490824901389
364,IntegratedGradients,True,False,Spearman,Uniform,224,50,-0.0239547247470416
365,FusionGrad,True,False,Spearman,Uniform,224,50,0.0328039787343508
366,Saliency,True,False,Pearson,Uniform,224,100,0.0001818684969929
367,IntegratedGradients,True,False,Pearson,Uniform,224,100,0.0067513081368667
368,FusionGrad,True,False,Pearson,Uniform,224,100,-0.0448530318665844
369,Saliency,True,False,Spearman,Uniform,224,100,0.0166173760233166
370,IntegratedGradients,True,False,Spearman,Uniform,224,100,-0.0264146414641464
371,FusionGrad,True,False,Spearman,Uniform,224,100,-0.03008015087223
372,Saliency,True,False,Pearson,Uniform,1792,50,-0.0266379435441786
373,IntegratedGradients,True,False,Pearson,Uniform,1792,50,-0.0100502996929388
374,FusionGrad,True,False,Pearson,Uniform,1792,50,0.0802902603833496
375,Saliency,True,False,Spearman,Uniform,1792,50,-0.0270828331332532
376,IntegratedGradients,True,False,Spearman,Uniform,1792,50,0.054611558909278
377,FusionGrad,True,False,Spearman,Uniform,1792,50,-0.0072303206997084
378,Saliency,True,False,Pearson,Uniform,1792,100,0.026835742547778
379,IntegratedGradients,True,False,Pearson,Uniform,1792,100,0.0224522770293448
380,FusionGrad,True,False,Pearson,Uniform,1792,100,-0.0226742174721915
381,Saliency,True,False,Spearman,Uniform,1792,100,0.003022587973083
382,IntegratedGradients,True,False,Spearman,Uniform,1792,100,-0.055021216407355
383,FusionGrad,True,False,Spearman,Uniform,1792,100,0.009006900690069
384,Saliency,True,False,Pearson,Black,2,50,-0.0213149278556481
385,IntegratedGradients,True,False,Pearson,Black,2,50,0.0781127017143488
386,FusionGrad,True,False,Pearson,Black,2,50,-0.0153327928995158
387,Saliency,True,False,Spearman,Black,2,50,-0.025127765391871
388,IntegratedGradients,True,False,Spearman,Black,2,50,0.0369061910478477
389,FusionGrad,True,False,Spearman,Black,2,50,0.0434230835191219
390,Saliency,True,False,Pearson,Black,2,100,0.0562475556794399
391,IntegratedGradients,True,False,Pearson,Black,2,100,0.0416318043033133
